,timestamp,open,high,low,close,volume,turnover
99,2025-03-10,75419.4,75441.9,40316.6,54400.0,860990.003,41841592473.5937
98,2025-03-11,54400.0,82025.2,36455.1,59103.0,562870.791,34144128198.8505
97,2025-03-12,59103.0,82905.1,49890.2,67136.7,5360369.209,285025267391.1186
96,2025-03-13,67136.7,84031.4,37479.3,47921.8,21255015.427,1027162214769.1733
95,2025-03-14,47921.8,99969.6,47037.7,71483.8,2412228.956,182204903765.7453
94,2025-03-15,71483.8,85049.7,43586.6,65423.8,727520.118,46335394009.9939
93,2025-03-16,65423.8,65423.8,43750.9,54666.6,591605.873,31647208753.1763
92,2025-03-17,54666.6,81653.1,34225.5,68417.6,1123457.333,50777717520.9391
91,2025-03-18,68417.6,68427.6,34200.0,56399.0,5384785.34,280656877989.0795
90,2025-03-19,56399.0,56399.4,37620.0,51006.5,204161.992,9967932419.2084
89,2025-03-20,51006.5,51006.5,25000.0,33926.1,918587.36,39689880468.0143
88,2025-03-21,33926.1,75999.2,29638.5,46756.3,294298.172,13327498760.247
87,2025-03-22,46756.3,84923.0,25235.8,73002.5,476340.724,31021726995.0164
86,2025-03-23,73002.5,80044.1,40222.0,75750.0,259133.694,16546313463.7133
85,2025-03-24,75750.0,76250.0,61411.9,61411.9,18166.369,1152388365.312
84,2025-03-25,61411.9,61429.6,48272.4,48437.5,10909.639,589654341.2566
83,2025-03-26,48437.5,74860.6,48272.4,72585.7,534219.85,32690139709.274
82,2025-03-27,72585.7,81235.8,61938.4,62360.7,36821.217,2573784974.5886
81,2025-03-28,62360.7,78346.4,34073.4,34073.4,4685383.095,280990206606.6478
80,2025-03-29,34073.4,100264.5,32583.8,100264.5,431447.368,27480983233.786
79,2025-03-30,100264.5,1432717.9,77800.0,78342.0,2937019.551,1551768805415.8433
78,2025-03-31,78342.0,84371.0,77000.0,81750.0,17812.856,1430482900.1683
77,2025-04-01,81750.0,85873.3,81074.6,84600.0,347894.025,29211453766.6523
76,2025-04-02,84600.0,87600.0,81000.0,81610.0,2919.994,245745555.336
75,2025-04-03,81610.0,84077.5,80649.4,82000.0,3188.503,263318418.565
74,2025-04-04,82000.0,88739.4,81000.0,82855.8,197640.304,16097947195.4072
73,2025-04-05,82855.8,139434.4,40141.8,41054.7,19976.162,1486826401.9978
72,2025-04-06,41054.7,64324.8,40000.0,43762.0,75032.984,3704366850.0184
71,2025-04-07,43762.0,79722.8,40937.5,64178.8,167801.202,10728570279.1309
70,2025-04-08,64178.8,80750.0,55551.5,67762.6,117821.284,8620829344.1579
69,2025-04-09,67762.6,80000.0,55400.0,78250.0,308356.877,19495087230.0849
68,2025-04-10,78250.0,81000.0,71010.8,79000.0,48650.924,3748913145.1355
67,2025-04-11,79000.0,84013.0,74351.6,82600.0,2827.374,220002376.1193
66,2025-04-12,82600.0,88725.4,72015.0,80400.0,42046.631,3436364419.0779
65,2025-04-13,80400.0,85333.3,77750.0,82600.0,2223.697,178174883.0598
64,2025-04-14,82600.0,86136.3,74500.0,75800.0,56447.816,4747240443.4069
63,2025-04-15,75800.0,85942.2,74440.1,75000.0,658.883,52164081.6122
62,2025-04-16,75000.0,82190.0,74351.6,76760.0,780.927,62358367.7568
61,2025-04-17,76760.0,85768.0,72200.0,72200.0,9797.457,798578031.8616
60,2025-04-18,72200.0,91718.4,70500.0,80500.0,3116.134,255353603.3671
